DRG Definition	Provider Id	Provider Name	Provider Street Address	Provider City	Provider State	Provider Zip Code	Hospital Referral Region Description	 Total Discharges 	 Average Covered Charges    Average Total Payments 	Average Medicare Payments
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	200033	EASTERN MAINE MEDICAL CENTER	489 STATE ST, PO BOX 404	BANGOR	ME	4401	ME - Bangor	89	$15,614.51 	$7,809.76 	$6,593.69 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	200034	ST MARYS REGIONAL MEDICAL CENTER	CAMPUS AVENUE - PO BOX 291	LEWISTON	ME	4240	ME - Portland	27	$17,199.55 	$7,569.62 	$6,738.22 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	200037	FRANKLIN MEMORIAL HOSPITAL	111 FRANKLIN HEALTH COMMONS	FARMINGTON	ME	4938	ME - Portland	14	$18,406.00 	$8,574.28 	$7,700.85 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	200039	MAINE GENERAL MEDICAL CENTER	6 E CHESTNUT ST	AUGUSTA	ME	4330	ME - Portland	60	$17,886.23 	$7,499.68 	$6,242.48 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	200040	HENRIETTA D GOODALL HOSPITAL	25 JUNE ST	SANFORD	ME	4073	ME - Portland	11	$13,905.54 	$6,576.63 	$5,653.36 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	200050	MAINE COAST MEMORIAL HOSPITAL	50 UNION ST	ELLSWORTH	ME	4605	ME - Bangor	15	$16,932.53 	$7,203.06 	$6,301.73 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	200063	PENOBSCOT BAY MEDICAL CENTER	6 GLEN COVE DRIVE	ROCKPORT	ME	4856	ME - Portland	35	$16,500.02 	$7,885.00 	$7,143.85 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210001	MERITUS MEDICAL CENTER	11116 MEDICAL CAMPUS ROAD	HAGERSTOWN	MD	21742	DC - Washington	91	$9,165.48 	$8,630.13 	$7,668.24 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210002	UNIVERSITY OF MARYLAND MEDICAL CENTER	22 S GREENE ST	BALTIMORE	MD	21201	MD - Baltimore	64	$16,653.12 	$15,664.00 	$14,614.20 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210003	PRINCE GEORGES HOSPITAL CENTER	3001 HOSPITAL DRIVE	CHEVERLY	MD	20785	MD - Takoma Park	20	$13,200.20 	$12,408.05 	$11,563.85 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210004	HOLY CROSS HOSPITAL	1500 FOREST GLEN ROAD	SILVER SPRING	MD	20910	MD - Takoma Park	110	$11,064.33 	$10,440.38 	$9,341.73 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210005	FREDERICK MEMORIAL HOSPITAL	400 WEST SEVENTH ST	FREDERICK	MD	21701	DC - Washington	111	$10,746.75 	$10,123.63 	$9,111.13 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210006	HARFORD MEMORIAL HOSPITAL	501 S UNION AVE	HAVRE DE GRACE	MD	21078	MD - Baltimore	32	$10,653.50 	$10,014.18 	$9,205.56 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210007	SAINT JOSEPH MEDICAL CENTER	7601 OSLER DRIVE	TOWSON	MD	21204	MD - Baltimore	78	$9,866.94 	$9,297.34 	$8,065.97 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210008	MERCY MEDICAL CENTER INC	301 ST PAUL PLACE	BALTIMORE	MD	21202	MD - Baltimore	16	$17,689.75 	$16,628.31 	$15,856.06 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210009	JOHNS HOPKINS HOSPITAL, THE	600 NORTH  WOLFE STREET	BALTIMORE	MD	21287	MD - Baltimore	82	$23,181.70 	$21,886.17 	$19,610.52 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210011	SAINT AGNES HOSPITAL	WILKENS & CATON AVENUES	BALTIMORE	MD	21229	MD - Baltimore	96	$10,519.12 	$9,891.75 	$8,914.20 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210012	SINAI HOSPITAL OF BALTIMORE	2401 WEST BELVEDERE AVE	BALTIMORE	MD	21215	MD - Baltimore	118	$11,464.31 	$10,795.81 	$9,800.79 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210013	BON SECOURS HOSPITAL	2000 W BALTIMORE STREET	BALTIMORE	MD	21223	MD - Baltimore	14	$13,475.57 	$12,667.00 	$11,943.85 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210015	FRANKLIN SQUARE HOSPITAL CENTER	9000 FRANKLIN SQUARE DR	BALTIMORE	MD	21237	MD - Baltimore	96	$10,378.48 	$9,783.34 	$8,780.37 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210016	WASHINGTON ADVENTIST HOSPITAL	7600 CARROLL AVE	TAKOMA PARK	MD	20912	MD - Takoma Park	49	$12,074.14 	$11,401.08 	$10,100.10 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210017	GARRETT COUNTY MEMORIAL HOSPITAL	251 N FOURTH ST	OAKLAND	MD	21550	WV - Morgantown	22	$7,835.81 	$7,396.13 	$6,215.22 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210018	MONTGOMERY GENERAL HOSPITAL INC	18101 PRINCE PHILIP DRIVE	OLNEY	MD	20832	MD - Takoma Park	38	$11,483.36 	$10,794.47 	$9,905.84 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210019	PENINSULA REGIONAL MEDICAL CENTER	100 E CARROLL AVE	SALISBURY	MD	21801	MD - Salisbury	133	$9,229.30 	$8,704.48 	$7,692.96 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210022	SUBURBAN HOSPITAL	8600 OLD GEORGETOWN RD	BETHESDA	MD	20814	DC - Washington	99	$9,509.47 	$8,990.42 	$7,675.67 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210023	ANNE ARUNDEL MEDICAL CENTER	2001 MEDICAL PARKWAY	ANNAPOLIS	MD	21401	DC - Washington	136	$9,688.78 	$9,149.14 	$7,996.50 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210024	UNION MEMORIAL HOSPITAL	201 E UNIVERSITY PKY	BALTIMORE	MD	21218	MD - Baltimore	51	$11,003.52 	$10,424.37 	$8,998.27 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210027	WESTERN MARYLAND REGIONAL MEDICAL CENTER	12500 WILLOWBROOK ROAD	CUMBERLAND	MD	21502	DC - Washington	100	$13,136.46 	$12,348.30 	$11,527.06 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210028	SAINT MARY'S HOSPITAL	PO BOX 527	LEONARDTOWN	MD	20650	DC - Washington	35	$8,208.37 	$7,715.82 	$6,685.08 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210029	JOHNS HOPKINS BAYVIEW MEDICAL CENTER	4940 EASTERN AVENUE	BALTIMORE	MD	21224	MD - Baltimore	83	$15,769.16 	$14,840.19 	$13,953.57 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210030	CHESTER RIVER HOSPITAL CENTER	100 BROWN ST	CHESTERTOWN	MD	21620	MD - Baltimore	15	$7,542.80 	$7,090.33 	$6,113.53 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210032	UNION HOSPITAL OF CECIL COUNTY	106 BOW STREET	ELKTON	MD	21921	DE - Wilmington	39	$9,019.69 	$8,478.51 	$7,611.07 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210033	CARROLL HOSPITAL CENTER	200 MEMORIAL AVE	WESTMINSTER	MD	21157	MD - Baltimore	67	$9,387.26 	$8,842.88 	$7,745.25 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210034	HARBOR HOSPITAL	3001 S HANOVER STREET	BALTIMORE	MD	21225	MD - Baltimore	38	$11,540.89 	$10,867.84 	$9,937.84 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210035	CIVISTA MEDICAL CENTER	5 GARRETT AVENUE	LA PLATA	MD	20646	DC - Washington	47	$9,180.34 	$8,629.48 	$7,699.70 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210037	MEMORIAL HOSPITAL AT EASTON	219 S WASHINGTON ST	EASTON	MD	21601	MD - Baltimore	80	$10,172.63 	$9,578.58 	$8,529.83 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210038	MARYLAND GENERAL  HOSPITAL	827 LINDEN AVE	BALTIMORE	MD	21201	MD - Baltimore	17	$14,572.11 	$13,697.82 	$12,834.05 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210039	CALVERT MEMORIAL HOSPITAL	100 HOSPITAL ROAD	PRINCE FREDERIC	MD	20678	DC - Washington	40	$9,030.22 	$8,488.40 	$7,699.20 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210040	NORTHWEST HOSPITAL CENTER	5401 OLD COURT RD	RANDALLSTOWN	MD	21133	MD - Baltimore	76	$9,792.19 	$9,219.50 	$8,254.03 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210043	BALTIMORE WASHINGTON  MEDICAL CENTER	301 HOSPITAL DR	GLEN BURNIE	MD	21061	MD - Baltimore	88	$9,305.90 	$8,775.32 	$7,801.18 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210044	GREATER BALTIMORE MEDICAL CENTER	6701 NORTH  CHARLES STREET	BALTIMORE	MD	21204	MD - Baltimore	103	$9,541.81 	$8,991.34 	$8,006.36 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210048	HOWARD COUNTY GENERAL HOSPITAL	5755 CEDAR LANE	COLUMBIA	MD	21044	MD - Baltimore	84	$10,149.80 	$9,554.26 	$8,566.07 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210049	UPPER CHESAPEAKE MEDICAL CENTER	500 UPPER CHESAPEAKE DRIVE	BEL AIR	MD	21014	MD - Baltimore	94	$7,226.74 	$6,840.38 	$5,629.38 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210051	DOCTORS'  COMMUNITY HOSPITAL	8118 GOOD LUCK ROAD	LANHAM	MD	20706	MD - Takoma Park	46	$9,567.26 	$9,041.78 	$7,926.71 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210054	SOUTHERN MARYLAND HOSPITAL CENTER	7503 SURRATTS RD	CLINTON	MD	20735	DC - Washington	99	$9,231.38 	$8,677.51 	$7,848.94 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210055	LAUREL REGIONAL MEDICAL CENTER	7300 VAN DUSEN ROAD	LAUREL	MD	20707	MD - Takoma Park	17	$9,045.17 	$8,502.35 	$7,703.29 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210056	GOOD SAMARITAN HOSPITAL	5601 LOCH RAVEN BLVD	BALTIMORE	MD	21239	MD - Baltimore	53	$8,609.20 	$8,122.01 	$7,126.37 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210057	SHADY GROVE ADVENTIST HOSPITAL	9901 MEDICAL CTR DR	ROCKVILLE	MD	20850	DC - Washington	75	$9,158.38 	$8,651.40 	$7,324.42 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	210061	ATLANTIC GENERAL HOSPITAL	9733 HEALTHWAY DRIVE	BERLIN	MD	21811	MD - Salisbury	46	$6,631.10 	$6,281.08 	$5,162.02 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220001	HEALTHALLIANCE HOSPITALS, INC	60 HOSPITAL ROAD	LEOMINSTER	MA	1453	MA - Worcester	28	$16,918.03 	$8,010.46 	$7,048.17 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220002	MOUNT AUBURN HOSPITAL	330 MOUNT AUBURN STREET	CAMBRIDGE	MA	2138	MA - Boston	29	$16,225.44 	$8,603.48 	$7,632.41 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220008	STURDY MEMORIAL HOSPITAL	211 PARK STREET	ATTLEBORO	MA	2703	RI - Providence	27	$12,116.33 	$7,215.37 	$6,422.33 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220010	LAWRENCE GENERAL HOSPITAL	ONE GENERAL STREET	LAWRENCE	MA	1842	MA - Boston	52	$18,600.51 	$8,858.01 	$8,016.40 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220011	CAMBRIDGE HEALTH ALLIANCE	1493 CAMBRIDGE STREET	CAMBRIDGE	MA	2138	MA - Boston	16	$19,213.87 	$10,737.93 	$9,826.18 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220012	CAPE COD HOSPITAL	88 LEWIS BAY ROAD	HYANNIS	MA	2601	MA - Boston	109	$13,979.42 	$9,271.11 	$8,358.46 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220015	COOLEY DICKINSON HOSPITAL INC,THE	30 LOCUST STREET	NORTHAMPTON	MA	1060	MA - Springfield	31	$16,430.09 	$6,915.90 	$5,626.90 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220016	BAYSTATE FRANKLIN MEDICAL CENTER	164 HIGH STREET	GREENFIELD	MA	1301	MA - Springfield	24	$17,465.29 	$7,022.16 	$6,132.66 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220017	CARNEY HOSPITAL	2100 DORCHESTER AVENUE	BOSTON	MA	2124	MA - Boston	20	$14,650.20 	$11,165.80 	$10,153.40 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220019	HARRINGTON MEMORIAL HOSPITAL	100 SOUTH STREET	SOUTHBRIDGE	MA	1550	MA - Worcester	15	$14,344.53 	$8,528.66 	$7,780.40 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220020	SAINT ANNE'S HOSPITAL	795 MIDDLE STREET	FALL RIVER	MA	2721	MA - Boston	15	$13,885.53 	$8,302.66 	$7,407.73 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220024	HOLYOKE MEDICAL CENTER	575 BEECH STREET	HOLYOKE	MA	1040	MA - Springfield	26	$11,846.50 	$7,609.65 	$6,701.50 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220029	ANNA JAQUES HOSPITAL	25 HIGHLAND AVENUE	NEWBURYPORT	MA	1950	MA - Boston	27	$11,395.11 	$7,470.37 	$6,425.77 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220031	BOSTON MEDICAL CENTER CORPORATION	1 BOSTON MEDICAL CENTER PLACE	BOSTON	MA	2118	MA - Boston	70	$23,411.21 	$12,955.34 	$12,073.68 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220033	BEVERLY HOSPITAL CORPORATION	85 HERRICK STREET	BEVERLY	MA	1915	MA - Boston	69	$13,171.46 	$7,871.11 	$6,984.65 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220035	NORTH SHORE MEDICAL CENTER	81 HIGHLAND AVENUE	SALEM	MA	1970	MA - Boston	91	$32,132.20 	$8,161.48 	$7,166.07 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220036	ST ELIZABETH'S MEDICAL CENTER	736 CAMBRIDGE STREET	BRIGHTON	MA	2135	MA - Boston	43	$18,556.06 	$11,324.02 	$10,304.02 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220046	BERKSHIRE MEDICAL CENTER INC	725 NORTH STREET	PITTSFIELD	MA	1201	NY - Albany	89	$14,192.37 	$8,701.44 	$7,791.78 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220049	MARLBOROUGH HOSPITAL	157 UNION STREET	MARLBOROUGH	MA	1752	MA - Worcester	11	$18,730.27 	$8,109.18 	$5,654.27 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220051	NORTH ADAMS REGIONAL HOSPITAL	71 HOSPITAL AVENUE	NORTH ADAMS	MA	1247	MA - Springfield	15	$15,247.20 	$7,197.13 	$6,375.53 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220052	SIGNATURE HEALTHCARE BROCKTON HOSPITAL	680 CENTER STREET	BROCKTON	MA	2302	MA - Boston	35	$14,543.08 	$9,260.42 	$7,858.80 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220060	JORDAN HOSPITAL INC	275 SANDWICH STREET	PLYMOUTH	MA	2360	MA - Boston	33	$14,076.30 	$7,528.51 	$6,538.57 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220063	LOWELL GENERAL HOSPITAL	295 VARNUM AVENUE	LOWELL	MA	1854	MA - Boston	34	$18,319.52 	$8,397.79 	$7,574.85 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220065	NOBLE HOSPITAL	115 WEST SILVER STREET	WESTFIELD	MA	1085	MA - Springfield	21	$12,102.28 	$6,118.14 	$5,161.57 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220066	MERCY MEDICAL CENTER	271 CAREW STREET	SPRINGFIELD	MA	1104	MA - Springfield	46	$16,042.82 	$8,228.10 	$6,691.26 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220067	QUINCY MEDICAL CENTER	114 WHITWELL STREET	QUINCY	MA	2169	MA - Boston	32	$13,281.18 	$7,267.68 	$6,154.40 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220070	HALLMARK HEALTH SYSTEM	585 LEBANON STREET	MELROSE	MA	2176	MA - Boston	44	$16,491.22 	$8,192.65 	$7,325.93 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220071	MASSACHUSETTS GENERAL HOSPITAL	55 FRUIT STREET	BOSTON	MA	2114	MA - Boston	192	$48,295.77 	$11,394.34 	$9,933.08 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220073	MORTON HOSPITAL	88 WASHINGTON STREET	TAUNTON	MA	2780	MA - Boston	24	$12,690.37 	$7,328.45 	$6,345.95 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220074	SOUTHCOAST HOSPITAL GROUP, INC	363 HIGHLAND AVENUE	FALL RIVER	MA	2720	MA - Boston	127	$17,141.87 	$8,410.55 	$6,739.39 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220077	BAYSTATE MEDICAL CENTER	759 CHESTNUT STREET	SPRINGFIELD	MA	1199	MA - Springfield	120	$19,043.95 	$9,912.90 	$8,668.88 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220080	HOLY FAMILY HOSPITAL	70 EAST STREET	METHUEN	MA	1844	MA - Boston	30	$15,368.96 	$7,886.93 	$7,062.13 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220082	SAINTS  MEDICAL CENTER INC	1 HOSPITAL DRIVE	LOWELL	MA	1852	MA - Boston	29	$13,830.86 	$7,532.82 	$6,523.37 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220084	EMERSON HOSPITAL	OLD ROAD TO 9 ACRE CORNER	W CONCORD	MA	1742	MA - Boston	25	$18,383.20 	$7,052.92 	$6,201.56 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220086	BETH ISRAEL DEACONESS MEDICAL CENTER	330 BROOKLINE AVENUE	BOSTON	MA	2215	MA - Boston	99	$24,096.37 	$11,787.60 	$11,218.78 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220090	MILFORD REGIONAL MEDICAL CENTER	14 PROSPECT STREET	MILFORD	MA	1757	MA - Boston	42	$17,552.35 	$7,544.19 	$6,555.33 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220100	SOUTH SHORE HOSPITAL	55 FOGG ROAD	SOUTH WEYMOUTH	MA	2190	MA - Boston	85	$17,628.30 	$7,421.55 	$6,253.47 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220101	NEWTON-WELLESLEY HOSPITAL	2014 WASHINGTON STREET	NEWTON	MA	2462	MA - Boston	32	$26,171.71 	$7,293.15 	$6,415.78 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220105	WINCHESTER HOSPITAL	41 HIGHLAND AVENUE	WINCHESTER	MA	1890	MA - Boston	33	$11,186.69 	$7,091.24 	$5,917.87 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220108	MILTON HOSPITAL INC	199 REEDSDALE ROAD	MILTON	MA	2186	MA - Boston	18	$16,092.88 	$7,422.44 	$6,743.11 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220110	BRIGHAM AND WOMEN'S HOSPITAL	75 FRANCIS STREET	BOSTON	MA	2115	MA - Boston	124	$42,633.83 	$10,611.34 	$9,714.58 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220111	GOOD SAMARITAN MEDICAL CENTER	235 NORTH PEARL STREET	BROCKTON	MA	2301	MA - Boston	32	$11,378.78 	$8,759.62 	$7,882.25 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220116	TUFTS MEDICAL CENTER	800 WASHINGTON STREET	BOSTON	MA	2111	MA - Boston	46	$25,461.52 	$12,194.67 	$11,151.89 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220119	FAULKNER HOSPITAL	1153 CENTRE STREET	BOSTON	MA	2130	MA - Boston	13	$27,138.00 	$9,132.23 	$8,355.92 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220126	NORWOOD HOSPITAL	800 WASHINGTON STREET	NORWOOD	MA	2062	MA - Boston	61	$13,594.67 	$7,168.78 	$6,282.75 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220135	FALMOUTH HOSPITAL	67 & 100 TER HEUN DRIVE	FALMOUTH	MA	2540	MA - Boston	45	$13,960.97 	$7,417.26 	$6,469.88 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220163	UMASS MEMORIAL MEDICAL CENTER INC	55 LAKE AVENUE NORTH	WORCESTER	MA	1655	MA - Worcester	101	$27,022.93 	$26,510.15 	$10,030.70 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220171	LAHEY CLINIC HOSPITAL	41 & 45 MALL ROAD	BURLINGTON	MA	1803	MA - Boston	77	$15,498.10 	$8,180.16 	$7,337.33 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220174	MERRIMACK VALLEY HOSPITAL	140 LINCOLN AVENUE	HAVERHILL	MA	1830	MA - Boston	17	$13,441.52 	$7,275.11 	$6,285.70 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220175	METROWEST MEDICAL CENTER	115 LINCOLN STREET	FRAMINGHAM	MA	1701	MA - Boston	30	$16,872.60 	$8,153.76 	$7,181.23 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	220176	ST VINCENT HOSPITAL	123 SUMMER STREET	WORCESTER	MA	1608	MA - Worcester	33	$12,433.03 	$8,784.03 	$8,016.09 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	230002	ST MARY MERCY HOSPITAL	36475 FIVE MILE ROAD	LIVONIA	MI	48154	MI - Ann Arbor	85	$17,558.29 	$6,746.75 	$5,858.60 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	230004	MERCY HEALTH PARTNERS, MERCY CAMPUS	1500 E SHERMAN BOULEVARD	MUSKEGON	MI	49444	MI - Muskegon	73	$11,258.36 	$6,843.08 	$5,948.50 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	230005	EMMA L BIXBY MEDICAL CENTER	818 RIVERSIDE AVENUE	ADRIAN	MI	49221	MI - Ann Arbor	19	$21,629.84 	$6,598.10 	$5,592.00 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	230015	THREE RIVERS HEALTH	701 S HEALTH PARKWAY	THREE RIVERS	MI	49093	MI - Kalamazoo	13	$12,678.38 	$6,588.38 	$5,986.23 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	230017	BRONSON METHODIST HOSPITAL	601 JOHN STREET	KALAMAZOO	MI	49007	MI - Kalamazoo	96	$20,554.87 	$8,470.77 	$7,517.08 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	230019	PROVIDENCE HOSPITAL AND MEDICAL CENTERS	16001 W NINE MILE RD	SOUTHFIELD	MI	48075	MI - Royal Oak	160	$24,956.64 	$8,591.45 	$7,531.65 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	230020	OAKWOOD HOSPITAL AND MEDICAL CENTER	18101 OAKWOOD BLVD	DEARBORN	MI	48124	MI - Dearborn	99	$22,958.29 	$8,259.64 	$7,360.58 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	230021	LAKELAND HOSPITAL, ST JOSEPH	1234 NAPIER AVENUE	ST JOSEPH	MI	49085	MI - St. Joseph	96	$15,165.30 	$7,154.56 	$6,167.71 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	230022	COMMUNITY HEALTH CENTER OF BRANCH COUNTY	274 E CHICAGO ST	COLDWATER	MI	49036	MI - Kalamazoo	21	$12,611.95 	$6,854.52 	$6,101.38 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	230024	SINAI-GRACE HOSPITAL	6071 W OUTER DRIVE	DETROIT	MI	48235	MI - Detroit	108	$17,861.49 	$9,933.15 	$8,777.57 
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC	230029	ST JOSEPH MERCY OAKLAND	44405 WOODWARD AVE	PONTIAC	MI	48341	MI - Pontiac	65	$20,082.50 	$8,686.90 	$7,892.69 
